phase,RatID,session,Trial num,HH time,Latency to corr sample,Latency to corr match,Corr sample port num,Trial type,Target odor num,Target odor name,Target odor concentration,Num pokes corr sample,Time in corr sample,Inc sample port num,Num pokes inc sample,Time in inc sample,False pos inc sample,Corr match port num,Corr match odor num,Corr match odor name,Match odor concentration,Num pokes corr match,Time in corr match,Inc match 1 port num,Inc match 1 odor num,Inc match 1 odor name,Num pokes inc match 1,Time in inc match 1,False pos inc match 1,Inc match 2 port num,Inc match 2 odor num,Inc match 2 odor name,Num pokes inc match 2,Time in inc match 2,False pos inc match 2,Time in corr port after reward
1,1,2,15,4,21.838,0,9,normal,8,TNT+RDX,1,1,7.005,8,1,5.981,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,2,16,4,56.809,0,8,normal,8,TNT+RDX,1,1,7.005,9,3,20.347,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,2,17,4,0,0,8,normal,8,TNT+RDX,1,5,9.947,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,2,18,4,17.845,0,9,normal,8,TNT+RDX,1,1,7.004,8,1,4.207,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,2,19,4,9.726,0,9,normal,8,TNT+RDX,1,1,7.005,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,2,20,4,0,0,8,normal,8,TNT+RDX,1,0,0,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,1,4,36.422,0,9,normal,8,TNT+RDX,1,2,10.594,8,3,1.467,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,2,4,9.824,0,8,normal,8,TNT+RDX,1,1,6.509,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,3,4,42.499,0,8,normal,8,TNT+RDX,1,2,8.065,9,2,15.934,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,4,4,28.552,0,8,normal,8,TNT+RDX,1,1,7.007,9,1,13.934,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,5,4,0,0,8,normal,8,TNT+RDX,1,2,4,9,2,21.213,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,6,4,0,0,8,normal,8,TNT+RDX,1,0,0,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
